archetype,agent,seed,reward_mean,ctr,sends_per_episode,optout_rate
OfficeWorker,Fixed-18:00,0,2.0147973871003533,0.31642857142857145,7.0,0.0
OfficeWorker,Random,0,-121.53076780848052,0.06965174129353234,29.145,0.995
OfficeWorker,LinUCB,0,-52.30425697152593,0.1260756480095358,39.19199999999999,0.038
OfficeWorker,LinUCB,1,-25.91060693020679,0.1260756480095358,39.19199999999999,0.038
OfficeWorker,LinUCB,2,-36.032378537354994,0.1260756480095358,39.19199999999999,0.038
OfficeWorker,LinUCB,3,0.0,0.1260756480095358,39.19199999999999,0.038
OfficeWorker,LinUCB,4,0.0,0.1260756480095358,39.19199999999999,0.038
NightOwlStudent,Fixed-18:00,0,-18.13796580039964,0.06,7.0,0.0
NightOwlStudent,Random,0,-132.32030363535924,0.058225806451612905,31.0,0.995
NightOwlStudent,LinUCB,0,0.0,0.2131246373477603,19.883000000000003,0.034
NightOwlStudent,LinUCB,1,-18.032455636576902,0.2131246373477603,19.883000000000003,0.034
NightOwlStudent,LinUCB,2,9.282307730393377,0.2131246373477603,19.883000000000003,0.034
NightOwlStudent,LinUCB,3,-37.855832280614194,0.2131246373477603,19.883000000000003,0.034
NightOwlStudent,LinUCB,4,0.0,0.2131246373477603,19.883000000000003,0.034
NightShiftWorker,Fixed-18:00,0,-4.182538894149646,0.23785714285714285,7.0,0.0
NightShiftWorker,Random,0,-129.61237325542194,0.06758709263124096,31.145,0.995
NightShiftWorker,LinUCB,0,0.0,0.03635098569771937,12.934999999999999,0.008
NightShiftWorker,LinUCB,1,0.0,0.03635098569771937,12.934999999999999,0.008
NightShiftWorker,LinUCB,2,0.0,0.03635098569771937,12.934999999999999,0.008
NightShiftWorker,LinUCB,3,0.0,0.03635098569771937,12.934999999999999,0.008
NightShiftWorker,LinUCB,4,-64.34938447886258,0.03635098569771937,12.934999999999999,0.008
NormalStudent,Fixed-18:00,0,-7.387218300399645,0.19714285714285715,7.0,0.0
NormalStudent,Random,0,-133.40740834203868,0.06381310755722797,31.89,0.995
NormalStudent,LinUCB,0,0.0,0.09998597782525646,17.107999999999997,0.047
NormalStudent,LinUCB,1,-44.797370143678556,0.09998597782525646,17.107999999999997,0.047
NormalStudent,LinUCB,2,-82.55098941115966,0.09998597782525646,17.107999999999997,0.047
NormalStudent,LinUCB,3,0.0,0.09998597782525646,17.107999999999997,0.047
NormalStudent,LinUCB,4,0.0,0.09998597782525646,17.107999999999997,0.047
Housewife,Fixed-18:00,0,-7.616255800399645,0.19428571428571428,7.0,0.0
Housewife,Random,0,-111.60394307533092,0.09766563680054927,29.13,0.99
Housewife,LinUCB,0,0.0,0.11766770660841008,21.047,0.11400000000000002
Housewife,LinUCB,1,-44.928622877243384,0.11766770660841008,21.047,0.11400000000000002
Housewife,LinUCB,2,0.0,0.11766770660841008,21.047,0.11400000000000002
Housewife,LinUCB,3,-40.665479171800364,0.11766770660841008,21.047,0.11400000000000002
Housewife,LinUCB,4,0.0,0.11766770660841008,21.047,0.11400000000000002
